RM084 lum vs myo														
gene	name	description	junctionID	exon	lum084gene	myo084gene	lum084junction	myo084junction	coord	strand	RM080_all	RM080_valid	RM035_all	RM035_valid
ENSG00000196208	GREB1	growth_regulation_by_estrogen_in_breast_cancer_1_[Source:HGNC_Symbol;Acc:24885]	2:11680235-11696579	chr2:11679969-11680234<1_ENSG00000196208	13.97	2.99	4.11	0.06	chr2:11674242-11782914	1	Yes	No	No	No
ENSG00000008853	RHOBTB2	Rho-related_BTB_domain_containing_2_[Source:HGNC_Symbol;Acc:18756]	8:22849694-22852073	chr8:22849544-22849693<1_ENSG00000008853	5.43	1.15	1.05	0.00	chr8:22844930-22877712	1	Yes	No	Yes	Yes
ENSG00000108821	COL1A1	"collagen,_type_I,_alpha_1_[Source:HGNC_Symbol;Acc:2197]"	17:48277309-48278771	chr17:48278772-48278993<-1_ENSG00000108821	31.75	12.31	0.07	2.60	chr17:48260650-48278993	-1	Yes	Yes	Yes	Yes
ENSG00000170312	CDK1	cyclin-dependent_kinase_1_[Source:HGNC_Symbol;Acc:1722]	10:62544620-62545421	chr10:62539899-62539960<1_ENSG00000170312	0.07	0.05	0.28	0.00	chr10:62538089-62554610	1	Yes	No	Yes	Yes
ENSG00000110195	FOLR1	folate_receptor_1_(adult)_[Source:HGNC_Symbol;Acc:3791]	11:71900804-71901619	chr11:71900602-71900803<1_ENSG00000110195	6.61	1.79	0.00	0.50	chr11:71900602-71907345	1	No	No	Yes	No
														
RM084 lum vs stem														
gene	name	description	junctionID	exon	lum084gene	stem084gene	lum084junction	stem084junction	coord	strand	RM080_all	RM080_valid		
ENSG00000064787	BCAS1	breast_carcinoma_amplified_sequence_1_[Source:HGNC_Symbol;Acc:974]	20:52674694-52675185	chr20:52674624-52674693<-1_ENSG00000064787	0.38	0.18	0.63	0.00	chr20:52553316-52687304	-1	Yes	No		
ENSG00000127084	FGD3	"FYVE,_RhoGEF_and_PH_domain_containing_3_[Source:HGNC_Symbol;Acc:16027]"	9:95782707-95784608	chr9:95784609-95784671<1_ENSG00000127084	2.86232	0.039048	5.1579601	0	chr9:95709733-95798518	1	Yes	Yes		
ENSG00000162894	FAIM3	Fas_apoptotic_inhibitory_molecule_3_[Source:HGNC_Symbol;Acc:14315]	1:207083686-207085074	chr1:207085075-207085297<-1_ENSG00000162894	4.72755	0.687703	0	0.30273469	chr1:207077731-207096592	-1	Yes	No		
ENSG00000126217	MCF2L	MCF.2_cell_line_derived_transforming_sequence-like_[Source:HGNC_Symbol;Acc:14576]	13:113656298-113669076	chr13:113656031-113656297<1_ENSG00000126217	3.01208	0.0776527	2.71838436	0	chr13:113548692-113754053	1	Yes	No		
